17:03:01.210839 IP 142.250.82.70.3478 > lior-Lenovo-YOGA-520-14IKB.32892: UDP, length 65
17:03:01.213040 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.216426 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.219737 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.222019 IP 142.250.82.70.3478 > lior-Lenovo-YOGA-520-14IKB.32892: UDP, length 92
17:03:01.224503 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.227546 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.232007 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.233183 IP whatsapp-cdn-shv-01-lhr8.fbcdn.net.https > lior-Lenovo-YOGA-520-14IKB.36440: Flags [P.], seq 4053249177:4053249280, ack 13490643, win 701, options [nop,nop,TS val 502910459 ecr 2952268313], length 103
17:03:01.233252 IP lior-Lenovo-YOGA-520-14IKB.36440 > whatsapp-cdn-shv-01-lhr8.fbcdn.net.https: Flags [.], ack 103, win 501, options [nop,nop,TS val 2952280922 ecr 502910459], length 0
17:03:01.236324 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.238711 IP lior-Lenovo-YOGA-520-14IKB.32892 > 142.250.82.70.3478: UDP, length 38
17:03:01.240138 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.241941 IP 142.250.82.70.3478 > lior-Lenovo-YOGA-520-14IKB.32892: UDP, length 91
17:03:01.244021 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.247002 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.250312 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.252568 IP 142.250.82.70.3478 > lior-Lenovo-YOGA-520-14IKB.39086: UDP, length 70
17:03:01.254696 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.257743 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.258280 IP 142.250.82.70.3478 > lior-Lenovo-YOGA-520-14IKB.39086: UDP, length 92
17:03:01.259545 IP lior-Lenovo-YOGA-520-14IKB.58850 > fra24s05-in-f14.1e100.net.443: UDP, length 1243
17:03:01.259591 IP lior-Lenovo-YOGA-520-14IKB.58850 > fra24s05-in-f14.1e100.net.443: UDP, length 670
17:03:01.262097 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.262142 IP 142.250.82.70.3478 > lior-Lenovo-YOGA-520-14IKB.32892: UDP, length 113
